"Locacion","Mes","Ano","ICC"
"OECD",5,2022,97.02988
"OECD",6,2022,96.59806
"OECD",7,2022,96.16651
"ESP",1,2017,102.5138
"ESP",2,2017,102.4212
"ESP",3,2017,102.6281
"ESP",4,2017,102.9486
"ESP",5,2017,103.1687
"ESP",6,2017,103.3491
"ESP",7,2017,103.5393
"ESP",8,2017,103.5973
"ESP",9,2017,103.5234
"ESP",10,2017,103.4028
"ESP",11,2017,103.282
"ESP",12,2017,103.1918
"ESP",1,2018,103.0059
"ESP",2,2018,102.6617
"ESP",3,2018,102.4121
"ESP",4,2018,102.5472
"ESP",5,2018,102.8573
"ESP",6,2018,103.1859
"ESP",7,2018,103.1198
"ESP",8,2018,102.7087
"ESP",9,2018,102.2368
"ESP",10,2018,102.0766
"ESP",11,2018,102.1124
"ESP",12,2018,102.097
"ESP",1,2019,102.1729
"ESP",2,2019,102.396
"ESP",3,2019,102.7257
"ESP",4,2019,102.769
"ESP",5,2019,102.8918
"ESP",6,2019,102.9316
"ESP",7,2019,102.5325
"ESP",8,2019,102.0232
"ESP",9,2019,101.5058
"ESP",10,2019,100.9712
"ESP",11,2019,100.6203
"ESP",12,2019,100.481
"ESP",1,2020,100.464
"ESP",2,2020,100.0111
"ESP",3,2020,98.34109
"ESP",4,2020,95.85295
"ESP",5,2020,94.8131
"ESP",6,2020,95.02762
"ESP",7,2020,95.27534
"ESP",8,2020,95.2888
"ESP",9,2020,95.4082
"ESP",10,2020,95.5194
"ESP",11,2020,95.78648
"ESP",12,2020,96.47495
"ESP",1,2021,97.0294
"ESP",2,2021,97.74424
"ESP",3,2021,99.04545
"ESP",4,2021,100.0549
"ESP",5,2021,100.7295
"ESP",6,2021,101.1146
"ESP",7,2021,101.2909
"ESP",8,2021,101.2852
"ESP",9,2021,101.0577
"ESP",10,2021,100.6056
"ESP",11,2021,99.86336
"ESP",12,2021,99.51508
"ESP",1,2022,99.27918
"ESP",2,2022,98.45325
"ESP",3,2022,96.70706
"ESP",4,2022,95.76039
"ESP",5,2022,95.29659
"ESP",6,2022,94.30239
"ESP",7,2022,92.90806
"BEL",1,2017,100.6824
"BEL",2,2017,100.7926
"BEL",3,2017,100.8977
"BEL",4,2017,100.9596
"BEL",5,2017,100.9797
"BEL",6,2017,101.0367
"BEL",7,2017,101.207
"BEL",8,2017,101.3278
"BEL",9,2017,101.485
"BEL",10,2017,101.5933
"BEL",11,2017,101.5779
"BEL",12,2017,101.5052
"BEL",1,2018,101.459
"BEL",2,2018,101.3935
"BEL",3,2018,101.3395
"BEL",4,2018,101.1703
"BEL",5,2018,100.9154
"BEL",6,2018,100.6303
"BEL",7,2018,100.5522
"BEL",8,2018,100.5473
"BEL",9,2018,100.6278
"BEL",10,2018,100.6177
"BEL",11,2018,100.3716
"BEL",12,2018,100.0238
"BEL",1,2019,99.87592
"BEL",2,2019,99.94678
"BEL",3,2019,100.1607
"BEL",4,2019,100.2962
"BEL",5,2019,100.2708
"BEL",6,2019,100.0848
"BEL",7,2019,99.88676
"BEL",8,2019,99.66145
"BEL",9,2019,99.50716
"BEL",10,2019,99.56223
"BEL",11,2019,99.68095
"BEL",12,2019,99.79705
"BEL",1,2020,99.88471
"BEL",2,2020,99.78267
"BEL",3,2020,99.30589
"BEL",4,2020,98.82602
"BEL",5,2020,98.95078
"BEL",6,2020,99.22989
"BEL",7,2020,99.28605
"BEL",8,2020,99.29327
"BEL",9,2020,99.5619
"BEL",10,2020,99.8737
"BEL",11,2020,100.2496
"BEL",12,2020,100.678
"BEL",1,2021,100.9178
"BEL",2,2021,101.0871
"BEL",3,2021,101.3234
"BEL",4,2021,101.5946
"BEL",5,2021,101.9607
"BEL",6,2021,102.2033
"BEL",7,2021,102.1172
"BEL",8,2021,101.7658
"BEL",9,2021,101.3884
"BEL",10,2021,100.8939
"BEL",11,2021,100.4577
"BEL",12,2021,100.1195
"BEL",1,2022,99.7802
"BEL",2,2022,99.26197
"BEL",3,2022,98.52732
"BEL",4,2022,98.21752
"BEL",5,2022,98.11482
"BEL",6,2022,98.07021
"BEL",7,2022,97.98649
"ITA",1,2017,99.85366
"ITA",2,2017,99.86246
"ITA",3,2017,99.88992
"ITA",4,2017,99.72445
"ITA",5,2017,99.47779
"ITA",6,2017,99.32513
"ITA",7,2017,99.53905
"ITA",8,2017,100.1105
"ITA",9,2017,100.7209
"ITA",10,2017,101.1013
"ITA",11,2017,101.2727
"ITA",12,2017,101.3251
"ITA",1,2018,101.273
"ITA",2,2018,101.2952
"ITA",3,2018,101.3613
"ITA",4,2018,101.3695
"ITA",5,2018,101.2131
"ITA",6,2018,101.2776
"ITA",7,2018,101.3743
"ITA",8,2018,101.4463
"ITA",9,2018,101.5519
"ITA",10,2018,101.5798
"ITA",11,2018,101.4892
"ITA",12,2018,101.335
"ITA",1,2019,101.1721
"ITA",2,2019,100.9976
"ITA",3,2019,100.8597
"ITA",4,2019,100.7402
"ITA",5,2019,100.6126
"ITA",6,2019,100.5082
"ITA",7,2019,100.5111
"ITA",8,2019,100.4105
"ITA",9,2019,100.3625
