"Periodo","AmbosSexos","Mujeres","Hombres","Region"
45292,82.071355148327,84.704499222972,79.38320745622,"Metropolitana de Santiago"
45658,82.241322004818,84.861173925494,79.569662110015,"Metropolitana de Santiago"
46023,82.408660913941,85.015083178364,79.75348650876,"Metropolitana de Santiago"
46388,82.573389879922,85.166258146393,79.934693600482,"Metropolitana de Santiago"
46753,82.735522086062,85.314730381933,80.113297168828,"Metropolitana de Santiago"
47119,82.895073160976,85.460531788187,80.289311800606,"Metropolitana de Santiago"
47484,83.052083622471,85.603694583405,80.462752853508,"Metropolitana de Santiago"
47849,83.206630505579,85.744251265989,80.633636424049,"Metropolitana de Santiago"
48214,83.358615839619,85.882234580541,80.801979315749,"Metropolitana de Santiago"
48580,83.508107099618,86.017677484875,80.96779900759,"Metropolitana de Santiago"
48945,83.655116934156,86.150613118007,81.131113622777,"Metropolitana de Santiago"
49310,83.799686807621,86.281074769149,81.291941897834,"Metropolitana de Santiago"
37257,75.39375163179,78.851094701564,72.064136659349,"Magallanes y Antártica"
37622,75.689796323133,79.084263078773,72.41894186481,"Magallanes y Antártica"
37987,75.982328402362,79.314554371173,72.769612558023,"Magallanes y Antártica"
38353,76.271019681879,79.541970484049,73.116084735951,"Magallanes y Antártica"
38718,76.556117339688,79.766514764751,73.45829948411,"Magallanes y Antártica"
39083,76.837563765998,79.988191970025,73.79620294331,"Magallanes y Antártica"
39448,77.114971682701,80.207008232884,74.12974626693,"Magallanes y Antártica"
39814,77.389017974933,80.422971029073,74.458885569372,"Magallanes y Antártica"
40179,77.658986804747,80.636089143175,74.783581866395,"Magallanes y Antártica"
40544,77.925172318503,80.846372634428,75.103801008001,"Magallanes y Antártica"
40909,78.187903200405,81.053832802277,75.419513604538,"Magallanes y Antártica"
41275,78.446923091733,81.258482151748,75.730694946689,"Magallanes y Antártica"
41640,78.702002331523,81.460334358685,76.037324919987,"Magallanes y Antártica"
42005,78.953674487198,81.659404234913,76.339387914489,"Magallanes y Antártica"
42370,79.201714779581,81.85570769339,76.636872730241,"Magallanes y Antártica"
42736,79.424467357393,82.070631596412,76.868172961856,"Magallanes y Antártica"
43101,79.645587861971,82.282010998558,77.096551549427,"Magallanes y Antártica"
43466,79.862976287342,82.489869573646,77.32200653528,"Magallanes y Antártica"
43831,80.076249876947,82.694232287019,77.544537457955,"Magallanes y Antártica"
44197,80.286137945907,82.895125335889,77.764145315782,"Magallanes y Antártica"
44562,80.492893718986,83.092576090131,77.980832529752,"Magallanes y Antártica"
44927,80.69652511254,83.286613033578,78.194602905752,"Magallanes y Antártica"
45292,80.896841606042,83.477265705798,78.405461596228,"Magallanes y Antártica"
45658,81.094158624515,83.664564644443,78.613415061358,"Magallanes y Antártica"
46023,81.288343312373,83.84854132817,78.818471029806,"Magallanes y Antártica"
46388,81.479402614016,84.02922812022,79.020638459129,"Magallanes y Antártica"
46753,81.667493843637,84.2066582127,79.219927495893,"Magallanes y Antártica"
47119,81.852658855484,84.38086557164,79.416349435602,"Magallanes y Antártica"
47484,82.034864437843,84.551884882874,79.609916682465,"Magallanes y Antártica"
47849,82.214303786191,84.719751498833,79.80064270911,"Magallanes y Antártica"
48214,82.391047237502,84.884501386294,79.988542016278,"Magallanes y Antártica"
48580,82.565034900995,85.046171075155,80.173630092583,"Magallanes y Antártica"
48945,82.736088900226,85.2047976083,80.35592337439,"Magallanes y Antártica"
49310,82.904198109239,85.360418492597,80.53543920587,"Magallanes y Antártica"
