"Periodo","MontoTotal","MontoM","MontoH","NumeroTotal","NumeroM","NumeroH"
2010-10-01,4199998.1075,1992452.0922965,2207546.0152034,451402,254950.98199233,196451.01800766
2010-11-01,4227095.1603,2008895.496588,2218199.6637119,451951,255378.90746733,196572.09253266
2010-12-01,4303196.6583,2042047.6382404,2261149.0200595,454456,256245.86963335,198210.13036664
2011-01-01,4436355.9344,2087880.192764,2348475.7416359,460356,259082.96853016,201273.03146983
2011-02-01,4518625.2742,2122960.934973,2395664.3392269,466566,262230.8696206,204335.13037939
2011-03-01,4801565.6418,2237093.7036526,2564471.9381473,477495,267961.39827672,209533.60172327
2011-04-01,4904573.932,2287492.6768036,2617081.2551963,485436,271571.9714666,213864.02853339
2011-05-01,5161389.1987,2370301.8278283,2791087.3708716,505309,280484.12111827,224824.87888172
2011-06-01,5465556.9804,2492852.3269883,2972704.6534116,523555,289068.59332324,234486.40667675
2011-07-01,5721631.7963,2609905.7040161,3111726.0922838,542421,298558.50524803,243862.49475196
2011-08-01,6044412.9435,2744361.9621851,3300050.9813148,560767,307951.06233142,252815.93766857
2011-09-01,6274232.8826,2836736.9078443,3437495.9747556,572143,313519.85766695,258623.14233304
2011-10-01,6415786.7425,2905226.1035284,3510560.6389715,581233,318145.03521546,263087.96478453
2011-11-01,6606308.7163999,2985492.8694931,3620815.8469068,588236,321564.45601394,266671.54398605
2011-12-01,6907378.7373999,3085843.5946145,3821535.1427854,599263,326840.88378399,272422.116216
2012-01-01,7015135.3695,3122765.1710792,3892370.1984207,609559,331820.80909831,277738.19090168
2012-02-01,7066230.4279999,3160408.0296486,3905822.3983513,615473,334857.63834535,280615.36165464
2012-03-01,7210608.7538999,3197952.9585791,4012655.7953208,625586,340587.34285463,284998.65714536
2012-04-01,7415480.7103,3318069.0889844,4097411.6213155,636447,345700.31796026,290746.68203973
2012-05-01,7701969.4772,3443825.8262356,4258143.6509643,656751,355454.94351928,301296.05648071
2012-06-01,8007667.8254,3586288.7828397,4421379.0425602,673889,363448.11738233,310440.88261766
2012-07-01,8170720.4598,3658267.3639751,4512453.0958248,685279,368890.9243991,316388.07560089
2012-08-01,8437472.9811,3775310.9430536,4662162.0380463,706719,379564.85680044,327154.14319955
2012-09-01,8508329.8052,3799000.1895858,4709329.6156141,715412,383562.42281435,331849.57718564
2012-10-01,8637383.406,3855741.9707682,4781641.4352317,723997,387527.1935554,336469.80644459
2012-11-01,8706575.2376,3886843.1171823,4819732.1204176,723965,387251.69492583,336713.30507416
2012-12-01,8857518.1425,3965712.7487022,4891805.3937977,726574,388146.41701773,338427.58298226
2013-01-01,8964972.9305999,4023169.4352572,4941803.4953427,737317,393624.64285448,343692.35714551
2013-02-01,9088631.0065,4069299.0158814,5019331.9906185,743153,396236.27756131,346916.72243868
2013-03-01,9137668.1167999,4148515.4271198,4989152.6896801,753529,401276.57843497,352252.42156502
2013-04-01,9243592.0102,4158262.2475908,5085329.7626091,764412,406573.94658714,357838.05341285
2013-05-01,9456030.5733999,4233284.4602775,5222746.1131224,779917,413958.51562742,365958.48437257
2013-06-01,9703832.3438,4337348.1866319,5366484.157168,797291,422003.45831269,375287.5416873
2013-07-01,9923475.4706,4435093.1926656,5488382.2779343,810089,428857.15568904,381231.84431095
2013-08-01,10072665.5343,4506762.004186,5565903.5301139,811227,429823.41740242,381403.58259757
2013-09-01,10210617.8756,4562173.5673909,5648444.308209,819355,434269.69903099,385085.300969
2013-10-01,10320814.8087,4642962.1484595,5677852.6602404,827459,438945.37397568,388513.62602431
2013-11-01,10204622.631299,4601470.4271556,5603152.2041443,819124,435015.94250694,384108.05749305
2013-12-01,10184377.8788,4600235.9954109,5584141.883389,814717,433438.21529031,381278.78470968
2014-01-01,10270023.2995,4638109.0978576,5631914.2016423,818239,435580.39015385,382658.60984614
2014-02-01,10262262.3073,4627844.4603395,5634417.8469604,818146,435731.9360358,382414.06396419
2014-03-01,10051881.0015,4536466.7263364,5515414.2751635,815591,434889.2847214,380701.71527859
2014-04-01,9862642.7254999,4468430.6851972,5394212.0403027,809132,432104.94135559,377027.0586444
2014-05-01,9758726.8185,4425348.1769955,5333378.6415044,812657,434580.0896012,378076.91039879
2014-06-01,9817704.1616,4445823.9256318,5371880.2359681,816702,437232.98009647,379469.01990352
2014-07-01,9954036.4013,4496931.88092,5457104.5203799,818778,438503.58268411,380274.41731588
2014-08-01,9777554.2705999,4406331.0654867,5371223.2051132,810797,434757.73022139,376039.2697786
2014-09-01,9740199.3731,4395955.6720133,5344243.7010866,804231,432701.62377356,371529.37622643
2014-10-01,10229609.775899,4599911.7809987,5629697.9949012,819735,440027.6864264,379707.31357359
2014-11-01,10383263.456,4670412.0043645,5712851.4516354,818949,440030.36424893,378918.63575106
2014-12-01,10500381.2949,4679221.7804329,5821159.514467,816540,439013.93553054,377526.06446945
2015-01-01,10687278.0058,4756852.6790249,5930425.326775,821038,441677.90211359,379360.0978864
2015-02-01,10678220.8033,4746826.7625107,5931394.0407892,822315,442492.71308453,379822.28691546
2015-03-01,10498510.1836,4662335.3106662,5836174.8729337,822183,442666.16504704,379516.83495295
2015-04-01,10546091.883,4697929.2668912,5848162.6161088,826605,445597.53429077,381007.46570922
2015-05-01,10749805.9338,4800475.6979893,5949330.2358106,844607,454716.44975953,389890.55024046
2015-06-01,10903070.8415,4891986.5273969,6011084.314103,854861,460251.59073936,394609.40926063
2015-07-01,10942101.9148,4910141.2661705,6031960.6486294,858622,462030.05631661,396591.94368338
2015-08-01,10825458.8295,4894906.8711199,5930551.95838,856285,461661.44107538,394623.55892461
2015-09-01,10997200.3304,4974710.4805221,6022489.8498778,867693,467711.99208428,399981.00791571
2015-10-01,11158438.2196,5040468.8626622,6117969.3569377,874494,471081.32654751,403412.67345248
2015-11-01,11437396.5126,5152610.3933881,6284786.1192118,879369,473197.70487681,406171.29512318
2015-12-01,11696513.5679,5258326.9898956,6438186.5780043,881636,474159.19969141,407476.80030858
2016-01-01,12035722.8564,5406090.6287336,6629632.2276663,897105,481279.90681385,415825.09318614
2016-02-01,12121779.6572,5419484.526714,6702295.1304859,904458,473389.76902355,431068.23097644
2016-03-01,12256894.9452,5499958.2279597,6756936.7172402,918163,491509.2994048,426653.70059519
2016-04-01,12383834.1427,5604646.0798818,6779188.0628181,926557,496347.97396037,430209.02603962
2016-05-01,12647402.1109,5770821.0948984,6876581.0160015,947423,506853.55203029,440569.4479697
2016-06-01,12608201.8336,5733853.0863433,6874348.7472566,952912,510105.95847884,442806.04152115
2016-07-01,12710682.5292,5809932.8724597,6900749.6567402,960465,513971.25676814,446493.74323185
2016-08-01,12618364.0142,5757027.536696,6861336.4775039,952523,510799.2109769,441723.78902309
2016-09-01,12520036.285,5720679.4292459,6799356.855754,953879,512511.17254773,441367.82745226
2016-10-01,12650962.0528,5800576.7092063,6850385.3435936,956770,514162.29107055,442607.70892944
2016-11-01,13012307.6434,5953694.101585,7058613.5418149,957327,514938.43969641,442388.56030358
2016-12-01,12984006.1891,5916820.7379788,7067185.4511211,945528,508946.31974724,436581.68025275
