"Periodo","Trabajo","Empleo","Desempleo"
2015-12-01,8954.1138764515,8428.4698548729,5.8704192154739
2016-01-01,8983.6699048439,8452.0669889961,5.9174359863914
2016-02-01,8958.7878901481,8417.1334698964,6.0461631026577
2016-03-01,8940.8793666352,8360.5716750241,6.49049906407
2016-04-01,8968.6262755171,8376.2291567571,6.6052157884769
2016-05-01,8981.4548073595,8350.3107227599,7.027192121286
2016-06-01,8966.7062614132,8337.4210017,7.0180202335965
2016-07-01,8989.5068459159,8336.2289330952,7.2671162502907
2016-08-01,8967.2209418231,8333.1996445255,7.0704324272928
2016-09-01,9011.9890838865,8378.38137595,7.0307198781385
2016-10-01,8994.637847309,8393.7217258168,6.6808261954863
2016-11-01,9046.3705047838,8467.0967433407,6.4033831152142
2016-12-01,9062.6307242527,8500.7102151494,6.2004127300428
2017-01-01,9115.1282803275,8534.552022826,6.3693701245487
2017-02-01,9102.0297777807,8485.6996122452,6.7713485956733
2017-03-01,9127.0098842031,8484.4474920955,7.0402289496768
2017-04-01,9147.3515044111,8499.9039797776,7.0779779734202
2017-05-01,9209.9635281126,8535.2098449545,7.326344790601
2017-06-01,9196.6431445451,8524.1368343171,7.3125193579654
2017-07-01,9201.4455483723,8537.3976049011,7.2167784939905
2017-08-01,9209.661858396,8573.4957466111,6.9075946714037
2017-09-01,9260.9214711553,8613.0925112447,6.9952969791219
2017-10-01,9270.1988562561,8622.7035182505,6.984697394799
2017-11-01,9338.7432141012,8712.6814593763,6.7039187219485
2017-12-01,9379.5226392476,8768.6668567167,6.5126532130199
2018-01-01,9438.1152902459,8793.9226351636,6.8254374445719
2018-02-01,9449.494321481,8787.0797412729,7.0100532120791
2018-03-01,9456.6084761079,8759.0807527202,7.3760875809755
2018-04-01,9441.3954861696,8781.0837399422,6.9937939491544
2018-05-01,9465.3294492991,8766.6512204168,7.3814464950714
2018-06-01,9466.8616971307,8755.5487377646,7.5137144929646
2018-07-01,9450.9653070883,8708.7376725227,7.8534584611052
2018-08-01,9435.5295859911,8707.194347841,7.7190711079047
2018-09-01,9414.1738575884,8710.9077206957,7.4702905165262
2018-10-01,9476.2038770948,8773.8364747126,7.4119068299065
2018-11-01,9525.40593026,8828.9913576049,7.3111275021128
2018-12-01,9600.3327160303,8914.2484603238,7.1464633153887
2019-01-01,9613.3417408511,8927.9516032599,7.1295721723762
2019-02-01,9581.6364295124,8907.6374949622,7.0342779076251
2019-03-01,9571.7483956725,8879.1099535837,7.23627924029
2019-04-01,9597.0564163644,8916.0168798452,7.0963377412054
2019-05-01,9621.0996237267,8925.2747406217,7.2322801999576
2019-06-01,9620.4577343928,8922.6077561606,7.2538126303226
2019-07-01,9638.1038994576,8910.5580292024,7.5486410796646
2019-08-01,9659.4437055937,8928.0491756761,7.5718079861493
2019-09-01,9712.7438515881,9000.0909553453,7.3372973397862
2019-10-01,9686.0489119515,8994.3604287832,7.1410798092785
