"Periodo","Poblacion","FuerzaTotal","Ocupados","Desocupados","Cesantes","PrimeraVez","Inactivos"
2013-09-01,13923.097000319,8509.5441536533,8010.8426000782,498.70155357499,460.18271240893,38.518841166067,5413.5528466662
2013-10-01,13938.841000415,8537.8254667846,8029.5973675453,508.22809923923,462.60427342886,45.623825810373,5401.0155336305
2013-11-01,13954.615001219,8569.7279627002,8067.1273969989,502.60056570127,454.80469499848,47.795870702783,5384.8870385198
2013-12-01,13970.560001351,8649.4787333472,8149.3890562756,500.08967707158,436.38754540616,63.702131665419,5321.0812680041
2014-01-01,13986.099000524,8713.9686565734,8170.9606102825,543.0080462909,454.09965068059,88.908395610315,5272.1303439507
2014-02-01,14002.110000437,8743.658371524,8202.8897930726,540.76857845139,452.86546668081,87.903111770585,5258.4516289131
2014-03-01,14017.656000384,8722.8688081573,8156.1959971115,566.67281104587,485.75215078491,80.920660260963,5294.7871922272
2014-04-01,14033.560000028,8716.8875590587,8181.3091599605,535.57839909828,481.72420231251,53.854196785774,5316.6724409698
2014-05-01,14049.294,8706.5974025372,8155.9710294213,550.6263731159,496.86107617237,53.765296943533,5342.6965974628
2014-06-01,14065.044,8686.6155304662,8120.4365313272,566.178999139,520.09692011011,46.08207902889,5378.4284695342
2014-07-01,14080.765,8655.7641609921,8084.9925288596,570.77163213252,526.92037291611,43.851259216409,5425.0008390082
2014-08-01,14096.529,8633.9431613072,8044.548951319,589.39420998813,543.50072573312,45.893484255016,5462.5858386933
2014-09-01,14112.05,8675.2135379747,8088.7213955562,586.49214241847,540.08177747337,46.410364945106,5436.8364620258
2014-10-01,14127.638000001,8709.6172204816,8137.9466656458,571.67055483572,520.13555462132,51.535000214396,5418.02077952
2014-11-01,14143.196000001,8751.5917128902,8207.6918397435,543.89987314673,495.01993108412,48.879942062615,5391.6042871108
2014-12-01,14158.925000001,8795.4292791671,8249.6203995932,545.8088795739,482.11732878947,63.691550784428,5363.4957208343
2015-01-01,14174.318,8807.5786605289,8259.1579295985,548.42073093039,481.90479234075,66.515938589644,5366.7393394716
2015-02-01,14190.084000001,8810.6991460019,8263.0910774201,547.6080685818,481.98990515129,65.618163430517,5379.3848539991
2015-03-01,14205.568,8779.0343054458,8232.2001626845,546.8341427613,490.70549620769,56.128646553614,5426.5336945543
2015-04-01,14221.204000001,8788.8613056307,8230.2552125792,558.60609305156,501.86365596261,56.742437088948,5432.342694371
2015-05-01,14236.737,8806.3559974232,8211.7940889833,594.56190843989,534.41938203971,60.142526400176,5430.3810025771
