"Periodo","Cambio","Multilateral","Real"
2017-12-01,636.923684210526,105.136315789474,91.7817790677913
2018-01-01,605.528636363636,101.329545454545,88.4728667218395
2018-02-01,596.839,100.4595,88.2434642010124
2018-03-01,603.445238095238,101.438095238095,88.8603267336441
2018-04-01,600.547619047619,100.885714285714,88.4249077325582
2018-05-01,626.119047619047,102.44,90.244734556363
2018-06-01,636.146190476191,102.220476190476,90.4743018386987
2018-07-01,652.407,103.422,91.4631382054588
2018-08-01,656.250909090909,102.822272727273,91.1086300641489
2018-09-01,680.914705882353,104.918823529412,93.4935707737664
2018-10-01,676.840909090909,104.375454545455,93.1236635865099
2018-11-01,677.612,103.9505,92.3764320856405
2018-12-01,681.986842105263,104.515263157895,92.732400884683
2019-01-01,677.061818181818,105.017727272727,93.125813953785
2019-02-01,656.3045,101.9125,90.9890915434464
2019-03-01,667.678571428572,103.120476190476,92.0730459951337
2019-04-01,667.399047619048,102.571904761905,91.8490912381729
2019-05-01,692.00380952381,104.992857142857,93.6537591263062
2019-06-01,692.409,105.5635,94.0261798010548
2019-07-01,686.059545454546,105.159545454545,93.7082943243845
2019-08-01,713.703333333333,106.596666666667,94.8707851439826
2019-09-01,718.442222222222,106.27,95.0877058797319
2019-10-01,721.032272727273,106.729545454545,95.2987933734727
2019-11-01,776.53,115.109,102.994971481357
2019-12-01,770.3905,114.4115,102.689465693722
2020-01-01,772.647727272727,115.327727272727,103.543002537853
2020-02-01,796.3795,117.3805,105.090445901853
2020-03-01,839.375454545454,121.144545454545,107.768048514733
2020-04-01,853.379047619048,121.110952380952,107.082927515004
2020-05-01,821.805263157895,116.033157894737,102.598548762003
2020-06-01,793.718095238095,113.757619047619,101.178242985955
2020-07-01,784.729090909091,112.749545454545,100.727365661484
2020-08-01,784.661904761905,113.297619047619,102.011403114003
2020-09-01,773.402380952381,112.327142857143,101.150130066628
2020-10-01,788.267142857143,114.583809523809,102.994574869891
2020-11-01,762.884761904762,112.01619047619,101.080171649168
2020-12-01,734.733,109.3785,99.0347535047997
2021-01-01,723.556,107.6305,98.0682029842506
2021-02-01,722.6265,107.126,98.3719730508139
2021-03-01,726.366086956522,106.34347826087,98.0981225620933
2021-04-01,707.845238095238,103.767619047619,96.0292523122216
2021-05-01,712.2595,105.275,98.0508606857577
2021-06-01,726.5445,107.532,100.50461288975
2021-07-01,750.440476190476,109.921428571429,102.750739514609
2021-08-01,779.828181818182,113.761818181818,106.516912336528
2021-09-01,783.62619047619,114.350476190476,106.252121330957
2021-10-01,813.9505,118.142,109.624194281367
2021-11-01,812.624761904762,117.551428571429,109.24032470174
2021-12-01,849.121904761905,122.377142857143,113.328244178534
2022-01-01,822.05,118.142380952381,110.136454537895
2022-02-01,807.068,117.335,109.74015085075
2022-03-01,799.187391304348,115.810434782609,108.032177215284
2022-04-01,815.123,117.3625,109.192002284346
2022-05-01,849.39,118.980454545455,110.082676943904
2022-06-01,857.7695,119.8365,110.725297382913
2022-07-01,953.70619047619,130.52380952381,119.778444629312
2022-08-01,904.352272727273,123.520909090909,112.466292396714
2022-09-01,921.0075,122.899,111.35943394729
2022-10-01,955.894736842105,125.272631578947,113.397833574757
2022-11-01,917.052857142857,120.782857142857,108.247569491837
2022-12-01,875.661428571428,117.219047619048,104.788450883794
2023-01-01,826.335714285714,112.239047619048,100.310340515882
2023-02-01,798.2575,107.7295,96.5763455177106
2023-03-01,809.503913043478,108.51652173913,96.436522480712
2023-04-01,803.836842105263,108.321578947368,96.1517051723591
2023-05-01,798.635454545455,106.686818181818,94.5082148933325
2023-06-01,799.8725,106.0565,94.0803100032244
2023-07-01,813.397142857143,107.923333333333,95.7260931425545
2023-08-01,855.659545454546,111.574090909091,99.7947037397268
2023-09-01,884.403684210526,113.883157894737,101.941997850775
2023-10-01,926.347,118.224,105.754021846505
2023-11-01,886.614285714286,114.595714285714,102.100762646831
2023-12-01,874.665789473684,111.642105263158,100.676479245569
2024-01-01,907.986818181818,113.513636363636,103.245604633381
2024-02-01,963.442380952381,119.669523809524,109.345840790277
2024-03-01,967.9325,120.344,NA
