placa;ver_placa;año_permiso;Tipo_pago;CodSII;fecha_pago;MONTO_PAGADO;REAJUSTE;MULTA;ELECTRONICO_PAPEL;FECHA_VENCIMIENTO
FCB051;4;2023;TOTAL;MT1060321;09/01/2024;36832;1143;4804;PAPEL;31/03/2024
FCDK50;8;2024;TOTAL;CT1760304;06/05/2024;72469;697;2111;ELECTRONICO;31/03/2025
FCFL63;1;2024;TOTAL;CT1760192;20/03/2024;47120;0;0;PAPEL;31/03/2025
FCGC42;K;2024;1a Cuota;SU790067;23/03/2024;60643;0;0;ELECTRONICO;31/08/2024
FCGR89;6;2024;TOTAL;SD2350193;25/03/2024;37476;0;0;PAPEL;31/03/2025
FCJD36;2;2024;TOTAL;CT2350133;22/03/2024;150520;0;0;PAPEL;31/03/2025
FCKT62;3;2024;TOTAL;HB490007;28/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FCLK32;2;2024;TOTAL;SU1760190;05/04/2024;76360;449;1128;ELECTRONICO;31/03/2025
FCLX53;9;2024;TOTAL;HB1320045;13/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FCPF62;K;2024;TOTAL;HB500115;15/03/2024;32330;0;0;PAPEL;31/03/2025
FCRG99;6;2024;TOTAL;HB2350031;06/03/2024;34941;0;0;ELECTRONICO;31/03/2025
FDBS99;2;2024;TOTAL;CT1760263;01/04/2024;58917;0;0;ELECTRONICO;31/03/2025
FDCD98;K;2024;TOTAL;SU1970055;25/03/2024;53122;0;0;ELECTRONICO;31/03/2025
FDCV44;3;2024;TOTAL;CT2250015;28/03/2024;88020;0;0;PAPEL;31/03/2025
FDDC13;K;2024;1a Cuota;SU1110148;23/03/2024;52530;0;0;PAPEL;31/08/2024
FDDC85;7;2024;TOTAL;SU2250077;01/03/2024;56125;0;0;ELECTRONICO;31/03/2025
FDDL10;K;2024;TOTAL;CT500302;20/06/2024;120317;1702;5181;ELECTRONICO;31/03/2025
FDDL78;9;2024;TOTAL;CT940005;01/04/2024;32330;0;0;PAPEL;31/03/2025
FDDT34;5;2024;TOTAL;CT2350133;28/03/2024;134629;0;0;ELECTRONICO;31/03/2025
FDDT55;8;2024;TOTAL;;31/05/2024;64793;0;0;PAPEL;31/05/2025
FDDT76;0;2024;TOTAL;HB1760049;28/03/2024;41079;0;0;PAPEL;31/03/2025
FDDV34;1;2024;TOTAL;CT500236;19/03/2024;52559;0;0;PAPEL;31/03/2025
FDDV39;2;2024;TOTAL;SD500283;26/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FDDV40;6;2024;TOTAL;SD500282;05/04/2024;33015;488;194;ELECTRONICO;31/03/2025
FDDV83;K;2024;TOTAL;SD500283;25/03/2024;32330;0;0;PAPEL;31/03/2025
FDDW45;3;2024;1a Cuota;SD2070067;26/03/2024;16170;0;0;PAPEL;31/08/2024
FDDW54;2;2023;TOTAL;;14/04/2024;71865;1710;6829;ELECTRONICO;30/09/2024
FDDW80;1;2024;1a Cuota;CT500303;27/03/2024;51363;0;0;ELECTRONICO;31/08/2024
FDDX49;2;2024;TOTAL;HB2290110;23/02/2024;32333;0;0;PAPEL;31/03/2025
FDFB10;4;2024;TOTAL;CT2350133;08/04/2024;137470;808;2032;PAPEL;31/03/2025
FDFB60;0;2022;TOTAL;CT1110029;25/04/2024;43903;4709;11974;PAPEL;31/03/2023
FDFB60;0;2023;TOTAL;CT1110029;25/04/2024;38532;1359;6288;PAPEL;31/03/2024
FDFB60;0;2024;TOTAL;CT1110029;25/04/2024;33015;194;488;PAPEL;31/03/2025
FDFG19;3;2024;TOTAL;SU1110131;22/03/2024;186980;0;0;PAPEL;31/03/2025
FDFH61;0;2024;TOTAL;CT1600111;26/03/2024;147420;0;0;PAPEL;31/03/2025
FDFH71;8;2024;TOTAL;HB1110097;16/05/2024;33636;323;980;PAPEL;31/03/2025
FDFH76;9;2024;1a Cuota;CT1760293;08/03/2024;36712;0;0;ELECTRONICO;31/08/2024
FDFH85;8;2024;TOTAL;HB1110097;01/04/2024;32333;0;0;PAPEL;31/03/2025
FDFJ33;1;2024;TOTAL;SD1110201;28/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FDFJ55;2;2024;TOTAL;CT940005;01/03/2024;32330;0;0;PAPEL;31/03/2025
FDFJ61;7;2024;TOTAL;SD1320143;11/03/2024;32330;0;0;PAPEL;31/03/2025
FDFJ79;K;2024;TOTAL;HB500114;12/03/2024;32333;0;0;PAPEL;31/03/2025
FDFK25;7;2024;TOTAL;CT910022;02/04/2024;33015;194;488;ELECTRONICO;31/03/2025
FDFK59;1;2024;TOTAL;HB1170006;18/03/2024;32330;0;0;PAPEL;31/03/2025
FDFK62;1;2024;TOTAL;HB500123;28/03/2024;32333;0;0;PAPEL;31/03/2025
FDHK18;5;2024;TOTAL;CT500320;31/03/2024;106902;0;0;ELECTRONICO;31/03/2025
FDHK35;5;2024;TOTAL;CT500320;21/03/2024;106900;0;0;PAPEL;31/03/2025
FDHZ74;2;2024;TOTAL;CT2350133;31/03/2024;120455;0;0;ELECTRONICO;31/03/2025
FDLB18;7;2024;TOTAL;CT1760293;08/03/2024;73420;0;0;PAPEL;31/03/2025
FDLF80;1;2024;TOTAL;HB500113;22/02/2024;32333;0;0;ELECTRONICO;31/03/2025
FDLK19;K;2023;TOTAL;CT1660059;17/05/2024;129111;4887;22408;PAPEL;31/03/2024
FDLK19;K;2024;1a Cuota;CT1660059;17/05/2024;48539;467;1414;PAPEL;31/08/2024
FDRW40;7;2024;TOTAL;CT770022;16/05/2024;33640;323;980;PAPEL;31/03/2025
FDTX60;9;2024;TOTAL;CT2250012;17/05/2024;74786;719;2178;PAPEL;31/03/2025
FDXS76;6;2024;TOTAL;SD500284;01/04/2024;33896;0;0;ELECTRONICO;31/03/2025
FDXS90;1;2024;TOTAL;SD2350202;13/05/2024;33636;323;980;ELECTRONICO;31/03/2025
FDYX56;2;2024;TOTAL;;30/05/2024;64793;0;0;PAPEL;31/05/2025
FDYX92;9;2024;1a Cuota;SD520121;28/03/2024;55745;0;0;ELECTRONICO;31/08/2024
FDYZ78;6;2024;TOTAL;;28/05/2024;64793;0;0;PAPEL;31/05/2025
FDYZ83;2;2024;TOTAL;;29/05/2024;64790;0;0;PAPEL;31/05/2025
FDYZ85;9;2023;TOTAL;SD2350212;17/01/2024;235840;3659;15381;PAPEL;31/03/2024
FDYZ85;9;2024;TOTAL;SD2350212;15/03/2024;90380;0;0;PAPEL;31/03/2025
FDYZ89;1;2024;TOTAL;;23/05/2024;64794;0;0;PAPEL;31/05/2025
FDYZ91;3;2024;TOTAL;;27/05/2024;64790;0;0;PAPEL;31/05/2025
FDYZ93;K;2024;TOTAL;SD2350215;05/03/2024;82918;0;0;PAPEL;31/03/2025
FDYZ94;8;2024;TOTAL;;31/05/2024;64790;0;0;PAPEL;31/05/2025
FDYZ97;2;2024;TOTAL;;29/05/2024;64794;0;0;PAPEL;31/05/2025
FDZB14;4;2024;TOTAL;SD2350248;29/05/2024;64793;0;0;PAPEL;31/05/2025
FDZB15;2;2024;TOTAL;;29/05/2024;64790;0;0;PAPEL;31/05/2025
FDZB16;0;2024;TOTAL;;27/05/2024;64793;0;0;PAPEL;31/05/2025
FDZB20;9;2024;TOTAL;;22/05/2024;64793;0;0;PAPEL;31/05/2025
FDZB24;1;2024;TOTAL;;23/05/2024;64793;0;0;PAPEL;31/05/2025
FDZB26;8;2024;TOTAL;;30/05/2024;64793;0;0;PAPEL;31/05/2025
FDZB27;6;2024;TOTAL;;28/05/2024;64790;0;0;PAPEL;31/05/2025
FDZB29;2;2024;TOTAL;;22/05/2024;64794;0;0;PAPEL;31/05/2025
FDZB47;0;2024;TOTAL;;29/05/2024;64790;0;0;PAPEL;31/05/2025
FDZB49;7;2024;TOTAL;;29/05/2024;64793;0;0;PAPEL;31/05/2025
FDZB55;1;2024;TOTAL;;06/06/2024;66094;324;977;PAPEL;31/05/2025
FDZB57;8;2023;TOTAL;;16/01/2024;10660;0;0;PAPEL;31/05/2024
FDZB57;8;2024;TOTAL;;29/05/2024;64790;0;0;PAPEL;31/05/2025
FDZB58;6;2024;TOTAL;;01/03/2024;59277;0;0;PAPEL;31/05/2025
FDZB73;K;2024;1a Cuota;SD2350248;01/04/2024;56425;0;0;ELECTRONICO;31/08/2024
FFBV92;2;2024;1a Cuota;SU1110102;03/03/2024;55299;0;0;ELECTRONICO;31/08/2024
FFCG92;8;2024;TOTAL;CT1540019;27/03/2024;39981;0;0;ELECTRONICO;31/03/2025
FFCG94;4;2024;TOTAL;SU1110136;11/03/2024;163225;0;0;ELECTRONICO;31/03/2025
FFCK44;7;2024;TOTAL;HB1760054;20/05/2024;33636;323;980;PAPEL;31/03/2025
FFCL75;3;2024;TOTAL;HB1320042;31/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FFCX89;0;2024;TOTAL;HB2290123;13/03/2024;41510;0;0;PAPEL;31/03/2025
FFDB75;8;2024;TOTAL;CT910022;25/03/2024;42724;0;0;ELECTRONICO;31/03/2025
FFDR17;7;2024;TOTAL;CT470002;06/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FFDS46;7;2024;TOTAL;SU2430068;07/03/2024;140043;0;0;PAPEL;31/03/2025
FFFH91;7;2024;TOTAL;VN500052;14/03/2024;90945;0;0;ELECTRONICO;31/03/2025
FFFP75;7;2024;TOTAL;SU1760191;14/03/2024;76269;0;0;PAPEL;31/03/2025
FFFS23;3;2024;TOTAL;SU2270308;25/03/2024;126949;0;0;ELECTRONICO;31/03/2025
FFGR24;0;2024;TOTAL;CT500320;01/03/2024;93259;0;0;PAPEL;31/03/2025
FFJL43;2;2024;TOTAL;HB500114;12/04/2024;33015;194;488;PAPEL;31/03/2025
FFKH44;7;2024;1a Cuota;CT500303;25/03/2024;51360;0;0;PAPEL;31/08/2024
FFL087;7;2024;TOTAL;MT1060342;21/03/2024;32330;0;0;PAPEL;31/03/2025
FFLZ70;0;2024;1a Cuota;CT1760291;18/03/2024;19520;0;0;PAPEL;31/08/2024
FFRP94;2;2024;TOTAL;SD1760287;30/05/2024;33640;323;980;PAPEL;31/03/2025
FFRR21;K;2024;TOTAL;CT2250016;09/04/2024;95298;560;1408;PAPEL;31/03/2025
FFRR44;9;2024;TOTAL;HB500114;05/04/2024;33015;194;488;PAPEL;31/03/2025
FFRR75;9;2024;TOTAL;SD500283;27/02/2024;32330;0;0;PAPEL;31/03/2025
FFRR77;5;2024;1a Cuota;HB500139;30/03/2024;16167;0;0;ELECTRONICO;31/08/2024
FFRR97;K;2024;TOTAL;HB2290113;15/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FFRS28;3;2024;1a Cuota;SD1320144;28/03/2024;16593;0;0;ELECTRONICO;31/08/2024
FFRS67;4;2024;TOTAL;HB2290113;09/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FFRS71;2;2024;TOTAL;SD1320144;20/03/2024;33186;0;0;ELECTRONICO;31/03/2025
FFRS97;6;2024;TOTAL;SU2290254;21/03/2024;66720;0;0;PAPEL;31/03/2025
FFRT83;2;2024;TOTAL;SD500283;19/04/2024;33015;194;488;PAPEL;31/03/2025
FFRV11;1;2024;TOTAL;CT1760192;29/03/2024;57439;0;0;ELECTRONICO;31/03/2025
FFRV35;9;2024;TOTAL;SD2070066;01/04/2024;32333;0;0;ELECTRONICO;31/03/2025
FFRV37;5;2024;TOTAL;SD1760287;28/05/2024;64790;0;0;PAPEL;31/05/2025
FFRV51;0;2024;TOTAL;SD500283;16/03/2024;32333;0;0;PAPEL;31/03/2025
FFRW29;0;2024;TOTAL;CT1760192;19/03/2024;57439;0;0;ELECTRONICO;31/03/2025
FFRX32;7;2024;TOTAL;SD2290041;19/03/2024;32333;0;0;PAPEL;31/03/2025
FFRX44;0;2024;TOTAL;SD2290041;30/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FFSP44;1;2024;1a Cuota;CT1660061;28/03/2024;32652;0;0;ELECTRONICO;31/08/2024
FFTG53;8;2024;TOTAL;CT2350133;20/03/2024;120455;0;0;PAPEL;31/03/2025
FFVH40;8;2023;2a Cuota;SD500266;25/03/2024;17717;391;1684;PAPEL;31/03/2024
FFVH40;8;2024;TOTAL;SD500266;25/03/2024;32333;0;0;PAPEL;31/03/2025
FFVV36;3;2024;1a Cuota;CT2430044;21/03/2024;67609;0;0;ELECTRONICO;31/08/2024
FFVY40;0;2024;1a Cuota;SU2350057;30/03/2024;42647;0;0;ELECTRONICO;31/08/2024
FFWF66;4;2024;1a Cuota;CT2250031;16/03/2024;64982;0;0;ELECTRONICO;31/08/2024
FFXF19;8;2024;TOTAL;SD1760277;15/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FFXX25;1;2024;1a Cuota;HB2290104;01/04/2024;16167;0;0;PAPEL;31/08/2024
FFYL55;1;2024;TOTAL;SD2070065;28/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FGBW30;3;2024;1a Cuota;CO500013;21/03/2024;16170;0;0;PAPEL;31/08/2024
FGBZ36;1;2024;TOTAL;SD1620330;27/03/2024;466257;0;0;PAPEL;31/03/2025
FGCF31;4;2022;TOTAL;;10/01/2024;78439;5009;15182;PAPEL;30/09/2023
FGCF31;4;2023;TOTAL;;10/01/2024;68469;1267;3876;PAPEL;30/09/2024
FGDH83;5;2024;TOTAL;SD1110200;19/03/2024;34732;0;0;PAPEL;31/03/2025
FGDT95;6;2024;1a Cuota;HB1840205;27/03/2024;23559;0;0;PAPEL;31/08/2024
FGFZ14;7;2024;TOTAL;SD2290041;12/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FGGG77;5;2023;TOTAL;CT1760237;03/06/2024;113581;4667;20862;PAPEL;31/03/2024
FGGG77;5;2024;TOTAL;CT1760237;03/06/2024;84379;1193;3634;PAPEL;31/03/2025
FGPS57;0;2024;TOTAL;HB500113;21/03/2024;32330;0;0;PAPEL;31/03/2025
FGRD21;0;2024;TOTAL;CT2430046;12/03/2024;39459;0;0;PAPEL;31/03/2025
FGRJ71;2;2023;2a Cuota;CT1660060;31/03/2024;61552;5849;1359;ELECTRONICO;31/03/2024
FGRJ71;2;2024;1a Cuota;CT1660060;31/03/2024;49397;0;0;ELECTRONICO;31/08/2024
FGRL39;1;2023;TOTAL;VN500052;07/05/2024;116742;4419;20261;PAPEL;31/03/2024
FGRL39;1;2024;TOTAL;VN500052;07/05/2024;94610;909;2756;PAPEL;31/03/2025
FGXR51;3;2024;TOTAL;HB500115;13/03/2024;32333;0;0;PAPEL;31/03/2025
FGYS35;3;2024;TOTAL;CT1660057;26/03/2024;79929;0;0;ELECTRONICO;31/03/2025
FGZF46;0;2024;TOTAL;CT2350132;01/04/2024;101202;0;0;PAPEL;31/03/2025
FGZZ65;9;2024;1a Cuota;SU1110127;21/03/2024;54570;0;0;PAPEL;31/08/2024
FHBK45;9;2024;TOTAL;CT1540019;02/04/2024;40824;240;603;ELECTRONICO;31/03/2025
FHBR24;8;2024;TOTAL;SD500221;25/03/2024;32366;0;0;ELECTRONICO;31/03/2025
FHBT22;4;2024;TOTAL;SD1110211;26/03/2024;56194;0;0;PAPEL;31/03/2025
FHBT27;5;2024;TOTAL;HB500140;15/03/2024;32330;0;0;PAPEL;31/03/2025
FHBT38;0;2024;TOTAL;VN1240019;22/03/2024;37292;0;0;PAPEL;31/03/2025
FHBT42;9;2024;1a Cuota;SU1110099;01/04/2024;42983;0;0;ELECTRONICO;31/08/2024
FHBT49;6;2024;1a Cuota;SD500282;07/03/2024;16167;0;0;ELECTRONICO;31/08/2024
FHBY60;2;2024;1a Cuota;CT2430026;19/03/2024;67029;0;0;ELECTRONICO;31/08/2024
FHCB38;7;2024;TOTAL;CT1760304;28/03/2024;79290;0;0;PAPEL;31/03/2025
FHCC76;6;2024;1a Cuota;HB520205;28/03/2024;19305;0;0;ELECTRONICO;31/08/2024
FHCC82;0;2024;TOTAL;SD500283;15/04/2024;33010;194;488;PAPEL;31/03/2025
FHCD73;8;2024;TOTAL;SD1320144;19/03/2024;33190;0;0;PAPEL;31/03/2025
FHCD85;1;2024;TOTAL;SD1320144;25/03/2024;33190;0;0;PAPEL;31/03/2025
FHCF21;1;2024;TOTAL;HB500114;26/03/2024;32333;0;0;PAPEL;31/03/2025
FHCF32;7;2024;TOTAL;HB500140;30/03/2024;32333;0;0;ELECTRONICO;31/03/2025
FHCF43;2;2024;1a Cuota;SD1760290;27/03/2024;18848;0;0;ELECTRONICO;31/08/2024
FHCL51;5;2024;1a Cuota;VN1210011;23/03/2024;30860;0;0;PAPEL;31/08/2024
FHDC23;0;2024;TOTAL;CT2350133;19/03/2024;134629;0;0;PAPEL;31/03/2025
FHDL36;7;2024;TOTAL;CT1760197;20/03/2024;32333;0;0;PAPEL;31/03/2025
FHDR87;7;2024;TOTAL;CT1760293;20/03/2024;73420;0;0;PAPEL;31/03/2025
FHGK31;0;2024;TOTAL;SU2290267;30/03/2024;39172;0;0;ELECTRONICO;31/03/2025
FHJB78;3;2024;TOTAL;CO1840126;28/03/2024;32407;0;0;ELECTRONICO;31/03/2025
FHJX17;K;2024;TOTAL;VN1660063;28/03/2024;39740;0;0;PAPEL;31/03/2025
FHKF34;6;2024;TOTAL;SU1110076;09/02/2024;99424;0;0;ELECTRONICO;31/03/2025
FHRS46;0;2024;1a Cuota;CT2430026;22/03/2024;67029;0;0;ELECTRONICO;31/08/2024
FHSD79;2;2024;TOTAL;HB1170005;21/02/2024;32330;0;0;PAPEL;31/03/2025
FHST94;2;2024;1a Cuota;CT2680006;28/03/2024;16170;0;0;PAPEL;31/08/2024
FHTD65;8;2024;TOTAL;SD1760290;05/03/2024;37696;0;0;PAPEL;31/03/2025
FHTJ53;K;2024;TOTAL;SD2350203;28/03/2024;33190;0;0;PAPEL;31/03/2025
FHTJ72;6;2024;TOTAL;HB1110097;11/04/2024;33010;194;488;PAPEL;31/03/2025
FHTP26;8;2024;TOTAL;HB1320042;28/03/2024;32330;0;0;PAPEL;31/03/2025
FHVH52;0;2024;1a Cuota;CT1660060;27/03/2024;49397;0;0;ELECTRONICO;31/08/2024
FHWH61;5;2024;TOTAL;CT2430030;08/03/2024;32330;0;0;PAPEL;31/03/2025
FHWH81;K;2024;TOTAL;HB770159;18/05/2024;35877;345;1045;ELECTRONICO;31/03/2025
FHWL46;0;2024;TOTAL;SD1600183;22/03/2024;32754;0;0;PAPEL;31/03/2025
FHXF71;5;2024;TOTAL;CT2350133;31/03/2024;134629;0;0;ELECTRONICO;31/03/2025
FHXG38;K;2024;TOTAL;CT1760237;25/03/2024;79552;0;0;ELECTRONICO;31/03/2025
FJBW53;1;2024;TOTAL;SU1760212;18/03/2024;66494;0;0;PAPEL;31/03/2025
FJBZ55;7;2024;1a Cuota;SU2290238;29/03/2024;31147;0;0;ELECTRONICO;31/08/2024
FJCR39;6;2024;TOTAL;CT1660057;16/03/2024;79929;0;0;PAPEL;31/03/2025
